entity_name,property_name,tenant_name,ledger_type,ledger_group,ledger_category,ledger_code,ledger_description,month,quarter,year,profit
,,,,,,,,,,,-357.75
,,,,,,,,,,,-362.15
,,,,,,,,,,,-3654.35
,,,,,,,,,,,-36750.5
,,,,,,,,,,,-3737.24
,,,,,,,,,,,-3740.8
,,,,,,,,,,,-375.0
,,,,,,,,,,,-38017.75
,,,,,,,,,,,-38440.17
,,,,,,,,,,,-3853.08
,,,,,,,,,,,-3865.48
,,,,,,,,,,,-3865.49
,,,,,,,,,,,-38752.01
,,,,,,,,,,,-38862.59
,,,,,,,,,,,-389.27
,,,,,,,,,,,-39285.01
,,,,,,,,,,,-3929.25
,,,,,,,,,,,-394.3
,,,,,,,,,,,-397.3
,,,,,,,,,,,-3993.83
,,,,,,,,,,,-4.01
,,,,,,,,,,,-4.29
,,,,,,,,,,,-4.92
,,,,,,,,,,,-400.0
,,,,,,,,,,,-400.75
,,,,,,,,,,,-4051.05
,,,,,,,,,,,-4069.84
,,,,,,,,,,,-4091.02
,,,,,,,,,,,-415.0
,,,,,,,,,,,-419.33
,,,,,,,,,,,-423.26
,,,,,,,,,,,-4275.97
,,,,,,,,,,,-428.0
,,,,,,,,,,,-434.42
,,,,,,,,,,,-439.62
,,,,,,,,,,,-4500.0
,,,,,,,,,,,-453.97
,,,,,,,,,,,-454.49
,,,,,,,,,,,-45637.72
,,,,,,,,,,,-457.64
,,,,,,,,,,,-46.02
,,,,,,,,,,,-46.3
,,,,,,,,,,,-460.89
,,,,,,,,,,,-464.3
,,,,,,,,,,,-47869.8
,,,,,,,,,,,-479.25
,,,,,,,,,,,-485.0
,,,,,,,,,,,-48529.53
,,,,,,,,,,,-486.36
,,,,,,,,,,,-488.42
,,,,,,,,,,,-489.14
,,,,,,,,,,,-49231.7
,,,,,,,,,,,-49375.42
,,,,,,,,,,,-494.5
,,,,,,,,,,,-496.5
,,,,,,,,,,,-4978.77
,,,,,,,,,,,-5.02
,,,,,,,,,,,-500.0
,,,,,,,,,,,-502.08
,,,,,,,,,,,-50227.83
,,,,,,,,,,,-503.38
,,,,,,,,,,,-504.89
,,,,,,,,,,,-5043.39
,,,,,,,,,,,-505.43
,,,,,,,,,,,-508.8
,,,,,,,,,,,-510.99
,,,,,,,,,,,-511.96
,,,,,,,,,,,-515.61
,,,,,,,,,,,-5153.0
,,,,,,,,,,,-5186.87
,,,,,,,,,,,-519.65
,,,,,,,,,,,-5194.68
,,,,,,,,,,,-52602.93
,,,,,,,,,,,-5298.0
,,,,,,,,,,,-534.02
,,,,,,,,,,,-543.75
,,,,,,,,,,,-547.83
,,,,,,,,,,,-549.17
,,,,,,,,,,,-55.56
,,,,,,,,,,,-552.44
,,,,,,,,,,,-5568.0
,,,,,,,,,,,-5571.97
,,,,,,,,,,,-562.76
,,,,,,,,,,,-567.0
,,,,,,,,,,,-568.39
,,,,,,,,,,,-570.85
,,,,,,,,,,,-570.86
,,,,,,,,,,,-5760.0
,,,,,,,,,,,-5760.78
,,,,,,,,,,,-5806.1
,,,,,,,,,,,-582.45
,,,,,,,,,,,-5824.0
,,,,,,,,,,,-58500.0
,,,,,,,,,,,-586.37
,,,,,,,,,,,-5874.16
,,,,,,,,,,,-588.21
,,,,,,,,,,,-5888.0
,,,,,,,,,,,-589.51
,,,,,,,,,,,-5952.0
,,,,,,,,,,,-5958.0
,,,,,,,,,,,-603.61
,,,,,,,,,,,-609.91
,,,,,,,,,,,-6137.32
,,,,,,,,,,,-6166.5
,,,,,,,,,,,-617.63
,,,,,,,,,,,-624.43
,,,,,,,,,,,-6249.77
,,,,,,,,,,,-625.56
,,,,,,,,,,,-631.36
,,,,,,,,,,,-631.37
,,,,,,,,,,,-635.6
,,,,,,,,,,,-638.23
,,,,,,,,,,,-6422.86
,,,,,,,,,,,-645.24
,,,,,,,,,,,-648.64
,,,,,,,,,,,-65.1
,,,,,,,,,,,-65497.19
,,,,,,,,,,,-670.33
,,,,,,,,,,,-6739.74
,,,,,,,,,,,-6889.06
,,,,,,,,,,,-69.24
,,,,,,,,,,,-700.0
,,,,,,,,,,,-72.43
,,,,,,,,,,,-724.89
,,,,,,,,,,,-727.17
,,,,,,,,,,,-728.76
,,,,,,,,,,,-73.02
,,,,,,,,,,,-7328.93
,,,,,,,,,,,-741.76
,,,,,,,,,,,-750.0
,,,,,,,,,,,-7500.0
,,,,,,,,,,,-752.28
,,,,,,,,,,,-754.12
,,,,,,,,,,,-765.55
,,,,,,,,,,,-768.75
,,,,,,,,,,,-769.0
,,,,,,,,,,,-776.87
,,,,,,,,,,,-777.36
,,,,,,,,,,,-778.11
,,,,,,,,,,,-7834.38
,,,,,,,,,,,-7868.82
,,,,,,,,,,,-792.34
,,,,,,,,,,,-797.07
,,,,,,,,,,,-7999.97
,,,,,,,,,,,-8039.17
,,,,,,,,,,,-8213.72
,,,,,,,,,,,-8222.66
,,,,,,,,,,,-8237.72
,,,,,,,,,,,-825.0
,,,,,,,,,,,-830.44
,,,,,,,,,,,-8307.14
,,,,,,,,,,,-8312.28
,,,,,,,,,,,-8375.83
,,,,,,,,,,,-8384.05
,,,,,,,,,,,-865.78
,,,,,,,,,,,-8653.08
,,,,,,,,,,,-866.43
,,,,,,,,,,,-8661.57
,,,,,,,,,,,-8728.65
,,,,,,,,,,,-874.75
,,,,,,,,,,,-881.57
,,,,,,,,,,,-8964.68
,,,,,,,,,,,-898.38
,,,,,,,,,,,-9.16
,,,,,,,,,,,-90.37
,,,,,,,,,,,-900.0
,,,,,,,,,,,-942.57
,,,,,,,,,,,-9478.68
,,,,,,,,,,,-948.18
,,,,,,,,,,,-95.66
,,,,,,,,,,,-950.72
,,,,,,,,,,,-9538.04
,,,,,,,,,,,-956.04
,,,,,,,,,,,-9581.64
,,,,,,,,,,,-9642.85
,,,,,,,,,,,-9642.86
,,,,,,,,,,,-9698.94
,,,,,,,,,,,-9750.0
,,,,,,,,,,,-97708.92
,,,,,,,,,,,-9805.53
,,,,,,,,,,,-981.36
,,,,,,,,,,,-9855.98
,,,,,,,,,,,-9914.48
,,,,,,,,,,,-9916.95
,,,,,,,,,,,0.01
,,,,,,,,,,,0.02
,,,,,,,,,,,0.03
,,,,,,,,,,,0.04
,,,,,,,,,,,0.1
,,,,,,,,,,,0.32
,,,,,,,,,,,0.43
,,,,,,,,,,,0.54
,,,,,,,,,,,1.84
,,,,,,,,,,,1000.0
,,,,,,,,,,,1005.49
,,,,,,,,,,,101.03
,,,,,,,,,,,101.04
,,,,,,,,,,,101128.27
,,,,,,,,,,,10143.76
,,,,,,,,,,,103509.0
,,,,,,,,,,,10379.48
,,,,,,,,,,,1042.6
,,,,,,,,,,,10493.55
,,,,,,,,,,,10610.14
,,,,,,,,,,,10725.47
,,,,,,,,,,,108.1
,,,,,,,,,,,1081.39
,,,,,,,,,,,10843.33
,,,,,,,,,,,11.06
,,,,,,,,,,,110.73
,,,,,,,,,,,111.77
,,,,,,,,,,,1110.6
,,,,,,,,,,,1113.91
,,,,,,,,,,,1125.0
,,,,,,,,,,,1125.2
,,,,,,,,,,,1139.78
,,,,,,,,,,,1139.79
,,,,,,,,,,,1151.35
,,,,,,,,,,,11520.0
,,,,,,,,,,,1164.0
,,,,,,,,,,,1164.9
,,,,,,,,,,,11648.0
,,,,,,,,,,,11748.32
,,,,,,,,,,,1176.93
,,,,,,,,,,,11776.0
,,,,,,,,,,,1189.07
,,,,,,,,,,,1189.72
,,,,,,,,,,,1190.99
,,,,,,,,,,,11934.38
,,,,,,,,,,,1202.79
,,,,,,,,,,,1202.8
,,,,,,,,,,,1205.13
,,,,,,,,,,,12076.66
,,,,,,,,,,,121.29
,,,,,,,,,,,1227.63
,,,,,,,,,,,123.56
,,,,,,,,,,,1232.06
,,,,,,,,,,,12357.64
,,,,,,,,,,,1242.48
,,,,,,,,,,,12495.09
,,,,,,,,,,,1252.18
,,,,,,,,,,,1256.44
,,,,,,,,,,,1269.67
,,,,,,,,,,,1273.12
,,,,,,,,,,,1273.13
,,,,,,,,,,,1284.36
,,,,,,,,,,,129.5
,,,,,,,,,,,1295.36
,,,,,,,,,,,12956.05
,,,,,,,,,,,1298.32
,,,,,,,,,,,13.3
,,,,,,,,,,,13021.42
,,,,,,,,,,,1312.59
,,,,,,,,,,,1315.14
,,,,,,,,,,,1320.99
,,,,,,,,,,,13267.58
,,,,,,,,,,,1338.53
,,,,,,,,,,,1338.54
,,,,,,,,,,,13425.09
